filename,label,source
ESC50_1-20133-A-39_noise.npy,glass breaking,ESC-50_noise
ESC50_1-20133-A-39_timestretch.npy,glass breaking,ESC-50_timestretch
ESC50_1-20133-A-39_pitchshift.npy,glass breaking,ESC-50_pitchshift
ESC50_1-84536-A-39_noise.npy,glass breaking,ESC-50_noise
ESC50_1-84536-A-39_timestretch.npy,glass breaking,ESC-50_timestretch
ESC50_1-84536-A-39_pitchshift.npy,glass breaking,ESC-50_pitchshift
ESC50_1-84704-A-39_noise.npy,glass breaking,ESC-50_noise
ESC50_1-84704-A-39_timestretch.npy,glass breaking,ESC-50_timestretch
ESC50_1-84704-A-39_pitchshift.npy,glass breaking,ESC-50_pitchshift
ESC50_1-84705-A-39_noise.npy,glass breaking,ESC-50_noise
ESC50_1-84705-A-39_timestretch.npy,glass breaking,ESC-50_timestretch
ESC50_1-84705-A-39_pitchshift.npy,glass breaking,ESC-50_pitchshift
ESC50_1-85168-A-39_noise.npy,glass breaking,ESC-50_noise
ESC50_1-85168-A-39_timestretch.npy,glass breaking,ESC-50_timestretch
ESC50_1-85168-A-39_pitchshift.npy,glass breaking,ESC-50_pitchshift
ESC50_1-85184-A-39_noise.npy,glass breaking,ESC-50_noise
ESC50_1-85184-A-39_timestretch.npy,glass breaking,ESC-50_timestretch
ESC50_1-85184-A-39_pitchshift.npy,glass breaking,ESC-50_pitchshift
ESC50_1-88807-A-39_noise.npy,glass breaking,ESC-50_noise
ESC50_1-88807-A-39_timestretch.npy,glass breaking,ESC-50_timestretch
ESC50_1-88807-A-39_pitchshift.npy,glass breaking,ESC-50_pitchshift
ESC50_1-977-A-39_noise.npy,glass breaking,ESC-50_noise
ESC50_1-977-A-39_timestretch.npy,glass breaking,ESC-50_timestretch
ESC50_1-977-A-39_pitchshift.npy,glass breaking,ESC-50_pitchshift
ESC50_2-106881-A-39_noise.npy,glass breaking,ESC-50_noise
ESC50_2-106881-A-39_timestretch.npy,glass breaking,ESC-50_timestretch
ESC50_2-106881-A-39_pitchshift.npy,glass breaking,ESC-50_pitchshift
ESC50_2-112213-A-39_noise.npy,glass breaking,ESC-50_noise
ESC50_2-112213-A-39_timestretch.npy,glass breaking,ESC-50_timestretch
ESC50_2-112213-A-39_pitchshift.npy,glass breaking,ESC-50_pitchshift
ESC50_2-112213-B-39_noise.npy,glass breaking,ESC-50_noise
ESC50_2-112213-B-39_timestretch.npy,glass breaking,ESC-50_timestretch
ESC50_2-112213-B-39_pitchshift.npy,glass breaking,ESC-50_pitchshift
ESC50_2-141563-A-39_noise.npy,glass breaking,ESC-50_noise
ESC50_2-141563-A-39_timestretch.npy,glass breaking,ESC-50_timestretch
ESC50_2-141563-A-39_pitchshift.npy,glass breaking,ESC-50_pitchshift
ESC50_2-173559-A-39_noise.npy,glass breaking,ESC-50_noise
ESC50_2-173559-A-39_timestretch.npy,glass breaking,ESC-50_timestretch
ESC50_2-173559-A-39_pitchshift.npy,glass breaking,ESC-50_pitchshift
ESC50_2-173607-A-39_noise.npy,glass breaking,ESC-50_noise
ESC50_2-173607-A-39_timestretch.npy,glass breaking,ESC-50_timestretch
ESC50_2-173607-A-39_pitchshift.npy,glass breaking,ESC-50_pitchshift
ESC50_2-173618-A-39_noise.npy,glass breaking,ESC-50_noise
ESC50_2-173618-A-39_timestretch.npy,glass breaking,ESC-50_timestretch
ESC50_2-173618-A-39_pitchshift.npy,glass breaking,ESC-50_pitchshift
ESC50_2-250710-A-39_noise.npy,glass breaking,ESC-50_noise
ESC50_2-250710-A-39_timestretch.npy,glass breaking,ESC-50_timestretch
ESC50_2-250710-A-39_pitchshift.npy,glass breaking,ESC-50_pitchshift
ESC50_3-203371-A-39_noise.npy,glass breaking,ESC-50_noise
ESC50_3-203371-A-39_timestretch.npy,glass breaking,ESC-50_timestretch
ESC50_3-203371-A-39_pitchshift.npy,glass breaking,ESC-50_pitchshift
